problem_id,pool_id,symmetry,spectrum_type,source,problem_latex,answer_latex,l0_prompt,matrix_latex
C_5x5_eig_017,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 3 & 0 & 3 & -1 \\ 3 & -2 & -4 & -1 & -5 \\ 0 & -4 & 4 & -1 & 1 \\ 3 & -1 & -1 & 0 & -5 \\ -1 & -5 & 1 & -5 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -11.7353, -2.216, 0.8395, 5.2662, 9.8456","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 3 & 0 & 3 & -1 \\ 3 & -2 & -4 & -1 & -5 \\ 0 & -4 & 4 & -1 & 1 \\ 3 & -1 & -1 & 0 & -5 \\ -1 & -5 & 1 & -5 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 6 & 3 & 0 & 3 & -1 \\ 3 & -2 & -4 & -1 & -5 \\ 0 & -4 & 4 & -1 & 1 \\ 3 & -1 & -1 & 0 & -5 \\ -1 & -5 & 1 & -5 & -6 \end{bmatrix}
C_5x5_eig_018,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 1 & 0 & 2 & 5 \\ 1 & -6 & 2 & -1 & -1 \\ 0 & 2 & -2 & 2 & 3 \\ 2 & -1 & 2 & -6 & -2 \\ 5 & -1 & 3 & -2 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -12.1739, -5.5221, -4.3283, -0.8575, 4.8818","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 1 & 0 & 2 & 5 \\ 1 & -6 & 2 & -1 & -1 \\ 0 & 2 & -2 & 2 & 3 \\ 2 & -1 & 2 & -6 & -2 \\ 5 & -1 & 3 & -2 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 2 & 1 & 0 & 2 & 5 \\ 1 & -6 & 2 & -1 & -1 \\ 0 & 2 & -2 & 2 & 3 \\ 2 & -1 & 2 & -6 & -2 \\ 5 & -1 & 3 & -2 & -6 \end{bmatrix}
C_5x5_eig_019,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 6 & 1 & 5 & -4 \\ 6 & 8 & 1 & -2 & -4 \\ 1 & 1 & 8 & -1 & -1 \\ 5 & -2 & -1 & 8 & 1 \\ -4 & -4 & -1 & 1 & 4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -7.2881, 1.5017, 7.3518, 10.2105, 14.2241","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 6 & 1 & 5 & -4 \\ 6 & 8 & 1 & -2 & -4 \\ 1 & 1 & 8 & -1 & -1 \\ 5 & -2 & -1 & 8 & 1 \\ -4 & -4 & -1 & 1 & 4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -2 & 6 & 1 & 5 & -4 \\ 6 & 8 & 1 & -2 & -4 \\ 1 & 1 & 8 & -1 & -1 \\ 5 & -2 & -1 & 8 & 1 \\ -4 & -4 & -1 & 1 & 4 \end{bmatrix}
C_5x5_eig_020,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 3 & -6 & 5 & 0 \\ 3 & -6 & 2 & 2 & -3 \\ -6 & 2 & -8 & 3 & 4 \\ 5 & 2 & 3 & 6 & -1 \\ 0 & -3 & 4 & -1 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -15.3957, -6.4408, -4.4876, 4.282, 12.0422","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 3 & -6 & 5 & 0 \\ 3 & -6 & 2 & 2 & -3 \\ -6 & 2 & -8 & 3 & 4 \\ 5 & 2 & 3 & 6 & -1 \\ 0 & -3 & 4 & -1 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 6 & 3 & -6 & 5 & 0 \\ 3 & -6 & 2 & 2 & -3 \\ -6 & 2 & -8 & 3 & 4 \\ 5 & 2 & 3 & 6 & -1 \\ 0 & -3 & 4 & -1 & -8 \end{bmatrix}
C_5x5_eig_021,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & -5 & -6 & 2 & 2 \\ -5 & 0 & -3 & 0 & -1 \\ -6 & -3 & -8 & 1 & -3 \\ 2 & 0 & 1 & -6 & -7 \\ 2 & -1 & -3 & -7 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -12.8626, -12.5311, -0.091, 2.6143, 8.8703","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & -5 & -6 & 2 & 2 \\ -5 & 0 & -3 & 0 & -1 \\ -6 & -3 & -8 & 1 & -3 \\ 2 & 0 & 1 & -6 & -7 \\ 2 & -1 & -3 & -7 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 4 & -5 & -6 & 2 & 2 \\ -5 & 0 & -3 & 0 & -1 \\ -6 & -3 & -8 & 1 & -3 \\ 2 & 0 & 1 & -6 & -7 \\ 2 & -1 & -3 & -7 & -4 \end{bmatrix}
C_5x5_eig_022,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & 6 & -1 & 5 & 1 \\ 6 & 6 & 0 & 4 & -5 \\ -1 & 0 & 8 & -7 & 1 \\ 5 & 4 & -7 & -2 & -6 \\ 1 & -5 & 1 & -6 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.6371, -5.0039, 4.7065, 8.9435, 17.991","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & 6 & -1 & 5 & 1 \\ 6 & 6 & 0 & 4 & -5 \\ -1 & 0 & 8 & -7 & 1 \\ 5 & 4 & -7 & -2 & -6 \\ 1 & -5 & 1 & -6 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -4 & 6 & -1 & 5 & 1 \\ 6 & 6 & 0 & 4 & -5 \\ -1 & 0 & 8 & -7 & 1 \\ 5 & 4 & -7 & -2 & -6 \\ 1 & -5 & 1 & -6 & 8 \end{bmatrix}
C_5x5_eig_023,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 1 & 3 & -4 & -1 \\ 1 & 6 & 0 & -1 & 1 \\ 3 & 0 & 2 & -5 & -1 \\ -4 & -1 & -5 & 4 & -2 \\ -1 & 1 & -1 & -2 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -3.0393, 1.0136, 3.473, 6.1481, 12.4046","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 1 & 3 & -4 & -1 \\ 1 & 6 & 0 & -1 & 1 \\ 3 & 0 & 2 & -5 & -1 \\ -4 & -1 & -5 & 4 & -2 \\ -1 & 1 & -1 & -2 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 6 & 1 & 3 & -4 & -1 \\ 1 & 6 & 0 & -1 & 1 \\ 3 & 0 & 2 & -5 & -1 \\ -4 & -1 & -5 & 4 & -2 \\ -1 & 1 & -1 & -2 & 2 \end{bmatrix}
C_5x5_eig_024,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 0 & 2 & -1 & 0 \\ 0 & -2 & -1 & 0 & 0 \\ 2 & -1 & 4 & -2 & 4 \\ -1 & 0 & -2 & 2 & -2 \\ 0 & 0 & 4 & -2 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -9.4313, -2.175, -0.5563, 0.8645, 7.2982","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 0 & 2 & -1 & 0 \\ 0 & -2 & -1 & 0 & 0 \\ 2 & -1 & 4 & -2 & 4 \\ -1 & 0 & -2 & 2 & -2 \\ 0 & 0 & 4 & -2 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 0 & 0 & 2 & -1 & 0 \\ 0 & -2 & -1 & 0 & 0 \\ 2 & -1 & 4 & -2 & 4 \\ -1 & 0 & -2 & 2 & -2 \\ 0 & 0 & 4 & -2 & -8 \end{bmatrix}
C_5x5_eig_025,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & -6 & -2 & 1 & -5 \\ -6 & -8 & 7 & -3 & -5 \\ -2 & 7 & 8 & -4 & 2 \\ 1 & -3 & -4 & -8 & -3 \\ -5 & -5 & 2 & -3 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -14.9647, -8.6688, 3.7204, 8.7047, 15.2084","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & -6 & -2 & 1 & -5 \\ -6 & -8 & 7 & -3 & -5 \\ -2 & 7 & 8 & -4 & 2 \\ 1 & -3 & -4 & -8 & -3 \\ -5 & -5 & 2 & -3 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 6 & -6 & -2 & 1 & -5 \\ -6 & -8 & 7 & -3 & -5 \\ -2 & 7 & 8 & -4 & 2 \\ 1 & -3 & -4 & -8 & -3 \\ -5 & -5 & 2 & -3 & 6 \end{bmatrix}
C_5x5_eig_026,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -8 & 0 & -4 & 6 & -5 \\ 0 & 4 & 5 & -5 & -4 \\ -4 & 5 & 4 & -5 & 3 \\ 6 & -5 & -5 & -4 & 2 \\ -5 & -4 & 3 & 2 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -14.169, -4.7539, -4.1247, 7.6842, 13.3634","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -8 & 0 & -4 & 6 & -5 \\ 0 & 4 & 5 & -5 & -4 \\ -4 & 5 & 4 & -5 & 3 \\ 6 & -5 & -5 & -4 & 2 \\ -5 & -4 & 3 & 2 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -8 & 0 & -4 & 6 & -5 \\ 0 & 4 & 5 & -5 & -4 \\ -4 & 5 & 4 & -5 & 3 \\ 6 & -5 & -5 & -4 & 2 \\ -5 & -4 & 3 & 2 & 2 \end{bmatrix}
C_5x5_eig_027,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -6 & -4 & -2 & -2 & 0 \\ -4 & 8 & 4 & -2 & -4 \\ -2 & 4 & -2 & 0 & -7 \\ -2 & -2 & 0 & 4 & -3 \\ 0 & -4 & -7 & -3 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -11.2326, -6.7066, -0.7558, 5.7749, 12.9201","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -6 & -4 & -2 & -2 & 0 \\ -4 & 8 & 4 & -2 & -4 \\ -2 & 4 & -2 & 0 & -7 \\ -2 & -2 & 0 & 4 & -3 \\ 0 & -4 & -7 & -3 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -6 & -4 & -2 & -2 & 0 \\ -4 & 8 & 4 & -2 & -4 \\ -2 & 4 & -2 & 0 & -7 \\ -2 & -2 & 0 & 4 & -3 \\ 0 & -4 & -7 & -3 & -4 \end{bmatrix}
C_5x5_eig_028,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -6 & -4 & 0 & -3 & -5 \\ -4 & -4 & 1 & 5 & 1 \\ 0 & 1 & 2 & 0 & 2 \\ -3 & 5 & 0 & -4 & -5 \\ -5 & 1 & 2 & -5 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -12.3292, -9.5007, 0.9266, 3.666, 5.2373","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -6 & -4 & 0 & -3 & -5 \\ -4 & -4 & 1 & 5 & 1 \\ 0 & 1 & 2 & 0 & 2 \\ -3 & 5 & 0 & -4 & -5 \\ -5 & 1 & 2 & -5 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -6 & -4 & 0 & -3 & -5 \\ -4 & -4 & 1 & 5 & 1 \\ 0 & 1 & 2 & 0 & 2 \\ -3 & 5 & 0 & -4 & -5 \\ -5 & 1 & 2 & -5 & 0 \end{bmatrix}
C_5x5_eig_029,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 2 & 3 & -4 & 0 \\ 2 & 0 & -3 & -1 & -1 \\ 3 & -3 & -4 & -1 & -2 \\ -4 & -1 & -1 & -8 & 4 \\ 0 & -1 & -2 & 4 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.5712, -7.34, 1.4244, 2.4724, 8.0145","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 2 & 3 & -4 & 0 \\ 2 & 0 & -3 & -1 & -1 \\ 3 & -3 & -4 & -1 & -2 \\ -4 & -1 & -1 & -8 & 4 \\ 0 & -1 & -2 & 4 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 0 & 2 & 3 & -4 & 0 \\ 2 & 0 & -3 & -1 & -1 \\ 3 & -3 & -4 & -1 & -2 \\ -4 & -1 & -1 & -8 & 4 \\ 0 & -1 & -2 & 4 & 6 \end{bmatrix}
C_5x5_eig_030,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 8 & -1 & 8 & 2 & -5 \\ -1 & -4 & 5 & 1 & -1 \\ 8 & 5 & 8 & 2 & 0 \\ 2 & 1 & 2 & 2 & -7 \\ -5 & -1 & 0 & -7 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.1388, -6.2652, 2.4807, 5.7313, 18.192","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 8 & -1 & 8 & 2 & -5 \\ -1 & -4 & 5 & 1 & -1 \\ 8 & 5 & 8 & 2 & 0 \\ 2 & 1 & 2 & 2 & -7 \\ -5 & -1 & 0 & -7 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 8 & -1 & 8 & 2 & -5 \\ -1 & -4 & 5 & 1 & -1 \\ 8 & 5 & 8 & 2 & 0 \\ 2 & 1 & 2 & 2 & -7 \\ -5 & -1 & 0 & -7 & -4 \end{bmatrix}
C_5x5_eig_031,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & -6 & 4 & -5 & -4 \\ -6 & 2 & -1 & -3 & 6 \\ 4 & -1 & -8 & 4 & 1 \\ -5 & -3 & 4 & -2 & 2 \\ -4 & 6 & 1 & 2 & -2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -14.1258, -8.0137, -3.3794, 2.6703, 10.8486","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & -6 & 4 & -5 & -4 \\ -6 & 2 & -1 & -3 & 6 \\ 4 & -1 & -8 & 4 & 1 \\ -5 & -3 & 4 & -2 & 2 \\ -4 & 6 & 1 & 2 & -2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -2 & -6 & 4 & -5 & -4 \\ -6 & 2 & -1 & -3 & 6 \\ 4 & -1 & -8 & 4 & 1 \\ -5 & -3 & 4 & -2 & 2 \\ -4 & 6 & 1 & 2 & -2 \end{bmatrix}
