Problem_ID,Subcat,problem_text,problem_latex,answer_latex
C_5x5_det_027,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & 0 & 0 & -2 & -2 \\ 0 & 2 & -2 & 0 & -5 \\ -3 & -3 & 3 & 2 & -3 \\ -2 & -2 & 3 & -3 & -5 \\ -2 & 2 & 0 & 5 & -4 \end{bmatrix},\det(A) = -1240
C_5x5_det_028,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & 2 & 2 & -4 & -3 \\ -5 & 4 & 4 & -4 & 0 \\ 2 & -5 & -2 & 2 & 4 \\ -2 & 1 & -4 & 2 & -5 \\ -2 & -5 & -2 & -2 & 5 \end{bmatrix},\det(A) = -616
C_5x5_det_029,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & 3 & 5 & -1 & 2 \\ 0 & -3 & 4 & -5 & 0 \\ -2 & 0 & -1 & -1 & 2 \\ 3 & 3 & -4 & -5 & 1 \\ -5 & 5 & 0 & -3 & 3 \end{bmatrix},\det(A) = -3362
C_5x5_det_030,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 0 & -1 & -2 & 0 \\ -3 & 0 & 0 & 2 & 0 \\ 3 & -2 & 3 & -3 & 5 \\ -1 & 3 & 1 & -3 & 3 \\ 4 & 5 & -5 & 1 & 4 \end{bmatrix},\det(A) = 1101
C_5x5_det_031,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & -2 & 2 & -5 & 1 \\ -1 & -4 & 3 & 3 & 3 \\ 0 & 3 & 1 & 0 & 3 \\ 2 & -4 & -1 & -3 & 4 \\ 1 & 2 & -4 & 5 & -2 \end{bmatrix},\det(A) = -1730
C_5x5_det_032,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & -2 & 3 & 1 & -2 \\ 1 & -1 & 0 & 2 & 3 \\ 3 & 1 & -2 & 1 & -2 \\ 2 & 5 & 1 & -1 & -3 \\ 3 & -2 & -5 & -5 & -1 \end{bmatrix},\det(A) = 621
C_5x5_det_033,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & 1 & 1 & 2 & 0 \\ 3 & 4 & 5 & -3 & 1 \\ 1 & 4 & 1 & 4 & 3 \\ 4 & -2 & -4 & 3 & 4 \\ -2 & 0 & 2 & -3 & 3 \end{bmatrix},\det(A) = 868
C_5x5_det_034,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & 2 & -5 & 4 & 0 \\ 3 & 0 & -3 & -5 & 3 \\ 0 & -2 & -4 & -4 & -5 \\ 0 & -3 & 2 & 4 & 3 \\ 1 & -1 & -4 & 2 & -4 \end{bmatrix},\det(A) = -1415
C_5x5_det_035,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & -2 & 1 & -3 & 5 \\ -3 & 5 & 2 & 0 & -1 \\ 2 & 3 & -4 & 5 & 4 \\ -1 & 4 & 1 & -3 & -5 \\ -2 & 2 & 1 & -1 & -4 \end{bmatrix},\det(A) = 468
C_5x5_det_036,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & -5 & 4 & -4 & -2 \\ -3 & 1 & -4 & 2 & 3 \\ 1 & -2 & 1 & -5 & -2 \\ 1 & -3 & 3 & 1 & 0 \\ 0 & 5 & 5 & 5 & -2 \end{bmatrix},\det(A) = 148
C_5x5_det_037,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & 0 & 4 & 5 & 3 \\ 5 & 4 & -5 & 1 & 4 \\ 3 & 5 & -4 & 3 & -1 \\ -5 & 3 & -2 & 5 & 2 \\ 0 & 0 & -3 & 2 & -3 \end{bmatrix},\det(A) = -5260
C_5x5_det_038,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 3 & 5 & 5 & 4 & 3 \\ 3 & 2 & -5 & 0 & 4 \\ 5 & -4 & 4 & 4 & -4 \\ 0 & 1 & 0 & 5 & -5 \\ -5 & 5 & 5 & -2 & 0 \end{bmatrix},\det(A) = 5501
C_5x5_det_039,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & 1 & 3 & 3 & 2 \\ 2 & -4 & -2 & -4 & 4 \\ 4 & -3 & 2 & 3 & 2 \\ 2 & -1 & -4 & -3 & -2 \\ -4 & 1 & 0 & 3 & -2 \end{bmatrix},\det(A) = -1056
C_5x5_det_040,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & 5 & -2 & 4 & 4 \\ 3 & 0 & 1 & 0 & 3 \\ -4 & -3 & -1 & 5 & -3 \\ -1 & 5 & 3 & 2 & -4 \\ 1 & -5 & 2 & 4 & -2 \end{bmatrix},\det(A) = -273
C_5x5_det_041,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -3 & -1 & -5 & 4 \\ -2 & -4 & -1 & -4 & 4 \\ 4 & -1 & 1 & 0 & -1 \\ -5 & 2 & 5 & 4 & 2 \\ -5 & -4 & -1 & 5 & -3 \end{bmatrix},\det(A) = 2228
C_5x5_det_042,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 3 & 3 & 3 & 1 \\ -1 & -4 & 1 & -3 & -5 \\ -4 & 2 & -5 & -1 & -2 \\ -2 & -1 & 0 & -3 & 3 \\ -3 & -2 & -1 & -1 & -2 \end{bmatrix},\det(A) = 1161
C_5x5_det_043,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 0 & 4 & 3 & -3 \\ 2 & 3 & 4 & 1 & 3 \\ -3 & 0 & -5 & 1 & 1 \\ 5 & -3 & 0 & -4 & 3 \\ 0 & 5 & 0 & 2 & 2 \end{bmatrix},\det(A) = -1155
C_5x5_det_044,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 3 & -4 & -1 & 2 & 3 \\ -3 & -5 & -3 & 3 & 3 \\ -3 & 2 & 1 & 3 & 0 \\ -2 & -4 & 4 & -4 & -1 \\ 2 & -3 & 4 & -1 & 2 \end{bmatrix},\det(A) = 1102
C_5x5_det_045,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & 1 & -1 & 1 & -1 \\ 1 & -1 & -4 & 4 & -3 \\ -1 & -1 & -2 & -4 & -2 \\ 2 & 2 & 3 & -4 & -2 \\ 3 & 4 & 4 & -4 & 2 \end{bmatrix},\det(A) = -767
C_5x5_det_046,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -5 & 5 & 1 & 4 & 5 \\ 3 & 1 & -2 & -2 & 2 \\ 0 & 5 & 1 & -4 & -4 \\ 4 & 4 & -4 & 2 & -1 \\ 5 & 0 & -4 & -2 & -3 \end{bmatrix},\det(A) = 2090
C_5x5_det_047,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & -1 & -4 & 4 & -4 \\ -2 & 1 & -2 & 0 & -4 \\ 0 & 1 & -4 & -5 & -3 \\ -1 & -5 & 0 & 5 & -3 \\ 0 & 2 & 0 & 0 & 4 \end{bmatrix},\det(A) = -800
C_5x5_det_048,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -3 & 3 & 0 & 3 & -5 \\ -5 & 0 & 5 & -5 & -1 \\ -4 & -3 & 2 & 4 & -5 \\ 5 & -5 & 0 & 0 & 1 \\ 2 & 0 & 5 & 4 & -4 \end{bmatrix},\det(A) = -5715
C_5x5_det_049,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -5 & -4 & 2 & 5 \\ 4 & -1 & 3 & 1 & 5 \\ -3 & 1 & -1 & 2 & 4 \\ -3 & -3 & -1 & 3 & -3 \\ 0 & -1 & -4 & -2 & 4 \end{bmatrix},\det(A) = -3219
C_5x5_det_050,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -3 & 2 & 5 & 5 \\ 1 & 2 & -5 & 5 & -3 \\ -2 & -2 & -4 & 1 & -3 \\ -1 & 0 & 2 & 5 & 5 \\ 5 & -3 & 3 & 3 & 2 \end{bmatrix},\det(A) = 2949
C_5x5_det_051,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & 3 & 2 & 2 & -1 \\ 1 & 4 & 2 & 5 & -2 \\ 3 & 5 & 4 & 4 & 2 \\ -4 & 0 & -4 & 0 & 2 \\ 3 & -4 & 3 & -2 & 2 \end{bmatrix},\det(A) = -1136
C_5x5_det_052,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & -4 & 0 & 3 & -3 \\ 4 & 1 & -4 & -2 & -5 \\ -4 & -3 & 1 & -5 & 1 \\ 4 & 1 & 3 & 4 & -5 \\ -1 & -2 & 3 & 4 & 5 \end{bmatrix},\det(A) = 4179
C_5x5_det_053,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & 2 & -4 & -2 & -1 \\ -4 & -4 & 5 & 1 & -3 \\ 5 & 2 & 1 & 2 & 4 \\ -3 & 2 & 1 & -3 & 2 \\ 5 & -4 & 2 & -1 & 3 \end{bmatrix},\det(A) = 982
C_5x5_det_054,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & -4 & -4 & 0 & -5 \\ -3 & -4 & 1 & -4 & 3 \\ 3 & -4 & 4 & -4 & -4 \\ -3 & -1 & -4 & 4 & 2 \\ 2 & -2 & 3 & 2 & 1 \end{bmatrix},\det(A) = -922
C_5x5_det_055,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & -1 & 0 & -5 & 5 \\ 1 & 4 & 4 & 5 & -5 \\ 4 & 5 & 3 & 3 & -4 \\ -5 & 1 & 3 & 5 & -2 \\ -4 & 2 & 3 & 3 & 4 \end{bmatrix},\det(A) = 552
C_5x5_det_056,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & 0 & -3 & -4 & 0 \\ -1 & 1 & -4 & -3 & -2 \\ 5 & -4 & 5 & 2 & 5 \\ 0 & -5 & -2 & 2 & -3 \\ 4 & -5 & 4 & -1 & 2 \end{bmatrix},\det(A) = -1253
C_5x5_det_057,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & -4 & 5 & 2 & -3 \\ 4 & 2 & -3 & -5 & -3 \\ 4 & 0 & 3 & 2 & -2 \\ -3 & -1 & 1 & -2 & -1 \\ 5 & -4 & 4 & -2 & -4 \end{bmatrix},\det(A) = -1023
C_5x5_det_058,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -1 & -5 & -5 & 0 \\ 3 & 1 & 4 & 3 & -4 \\ 0 & 4 & -4 & -5 & -5 \\ -1 & 2 & 4 & 4 & -5 \\ 5 & 0 & 2 & -3 & 2 \end{bmatrix},\det(A) = 488
C_5x5_det_059,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & 3 & 5 & -2 & 1 \\ 4 & 4 & 1 & -2 & 3 \\ -3 & 3 & -4 & 5 & -2 \\ -4 & -1 & 1 & 0 & -2 \\ -5 & -3 & 2 & 0 & -3 \end{bmatrix},\det(A) = -61
C_5x5_det_060,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & 1 & 5 & 1 & 4 \\ -2 & 4 & -2 & -3 & -4 \\ 3 & 0 & 5 & 0 & -1 \\ 2 & -1 & -1 & 2 & -1 \\ -1 & -1 & 0 & 4 & 5 \end{bmatrix},\det(A) = -35
C_5x5_det_061,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & -2 & 1 & 5 & 4 \\ -2 & -3 & -4 & 4 & -2 \\ -5 & -5 & -2 & -5 & 4 \\ -3 & -4 & 3 & 0 & 0 \\ 3 & 1 & 5 & -3 & -3 \end{bmatrix},\det(A) = 594
C_5x5_det_062,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -5 & 4 & 2 & -1 \\ -1 & 0 & -2 & 1 & -3 \\ 0 & -1 & 0 & -5 & 3 \\ 5 & 1 & -4 & 1 & 1 \\ 5 & 0 & -2 & 0 & -1 \end{bmatrix},\det(A) = -1392
C_5x5_det_063,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & 4 & -5 & 1 & 5 \\ -3 & -5 & -3 & 1 & -2 \\ 3 & 4 & 1 & 2 & -5 \\ 2 & -3 & -4 & -4 & 2 \\ -5 & 2 & 1 & -4 & 1 \end{bmatrix},\det(A) = -12188
C_5x5_det_064,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 0 & 1 & -1 & -2 \\ 0 & 2 & -3 & 0 & 4 \\ -1 & -3 & 5 & 5 & -5 \\ -5 & 4 & 5 & 5 & -4 \\ 4 & 1 & 1 & 1 & 3 \end{bmatrix},\det(A) = -718
C_5x5_det_065,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -5 & 2 & -2 & -2 & -2 \\ 1 & 2 & -2 & 5 & 5 \\ 5 & 5 & 2 & 3 & 4 \\ 0 & 5 & 2 & -2 & -1 \\ 3 & -5 & -3 & -2 & 5 \end{bmatrix},\det(A) = -570
C_5x5_det_066,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & -2 & -2 & -2 & 1 \\ 0 & -3 & 1 & 0 & -2 \\ 3 & 1 & 5 & 1 & 4 \\ -2 & 0 & 4 & 3 & 5 \\ -2 & 5 & -5 & 1 & -5 \end{bmatrix},\det(A) = 504
C_5x5_det_067,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & 3 & -4 & -4 & -4 \\ 5 & -5 & -4 & 5 & -2 \\ 1 & -2 & 0 & -2 & -1 \\ 2 & 5 & 4 & 2 & -2 \\ 3 & -4 & 5 & -1 & 0 \end{bmatrix},\det(A) = 365
C_5x5_det_068,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & -3 & 1 & 0 & 0 \\ -4 & -5 & 2 & 3 & -1 \\ -2 & -1 & -2 & -1 & 0 \\ 5 & -4 & 1 & -5 & -2 \\ -5 & 4 & 1 & 3 & -4 \end{bmatrix},\det(A) = -604
C_5x5_det_069,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & 3 & -1 & 5 & -5 \\ 5 & 1 & 5 & -4 & -2 \\ -4 & 4 & 3 & 4 & 4 \\ 2 & -4 & 1 & -4 & -1 \\ 3 & 3 & 3 & 0 & 4 \end{bmatrix},\det(A) = -3164
C_5x5_det_070,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & -4 & 1 & -5 & -2 \\ 1 & 2 & -2 & 3 & -5 \\ 0 & -4 & -2 & -3 & -4 \\ 0 & -4 & 0 & 3 & -4 \\ -4 & -2 & 2 & 0 & 5 \end{bmatrix},\det(A) = 1632
C_5x5_det_071,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & -1 & 0 & -4 & 2 \\ 1 & -1 & 1 & -1 & 4 \\ -2 & -3 & -1 & 1 & 1 \\ 5 & 2 & 2 & 3 & -4 \\ 3 & 5 & -2 & -2 & -4 \end{bmatrix},\det(A) = 690
C_5x5_det_072,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & -3 & 1 & 0 & 0 \\ -2 & -4 & 3 & 3 & 4 \\ -1 & 0 & 5 & -4 & 0 \\ -2 & 3 & -5 & -2 & -4 \\ 4 & 1 & -3 & -2 & 5 \end{bmatrix},\det(A) = 4028
C_5x5_det_073,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -4 & -4 & 4 & -2 \\ 3 & 4 & 1 & -1 & -1 \\ -3 & -2 & 4 & -4 & 4 \\ -1 & 1 & -5 & 2 & 3 \\ 2 & 5 & 0 & 5 & -1 \end{bmatrix},\det(A) = -2616
C_5x5_det_074,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & 2 & 2 & 2 & -4 \\ -1 & 0 & 2 & 5 & -1 \\ 1 & 5 & 4 & -1 & -2 \\ 4 & -3 & -5 & 0 & 4 \\ 2 & 3 & -4 & -1 & 2 \end{bmatrix},\det(A) = 918
C_5x5_det_075,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & -1 & -4 & 3 & 2 \\ 4 & -4 & -1 & 2 & -2 \\ 5 & 0 & -4 & -1 & 0 \\ 0 & -4 & 2 & 0 & -5 \\ -5 & -1 & -4 & 0 & 5 \end{bmatrix},\det(A) = 1695
C_5x5_det_076,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -3 & 3 & 0 & -2 \\ -2 & 1 & 1 & 3 & 1 \\ 2 & 0 & 4 & -2 & -4 \\ -5 & 2 & 0 & -3 & 1 \\ 3 & -1 & 3 & -1 & -2 \end{bmatrix},\det(A) = 368
C_5x5_det_077,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & 4 & 4 & 4 & 4 \\ -2 & 4 & -3 & 5 & -2 \\ 0 & 0 & -3 & -4 & 5 \\ 2 & -5 & 2 & -3 & 3 \\ 2 & -3 & -2 & 0 & 5 \end{bmatrix},\det(A) = 1284
C_5x5_det_078,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & -4 & -2 & -3 & 2 \\ -5 & -3 & -2 & -1 & 1 \\ 0 & 1 & 4 & 4 & -4 \\ -1 & -2 & -2 & -3 & 3 \\ -4 & -1 & -1 & 3 & 0 \end{bmatrix},\det(A) = 418
C_5x5_det_079,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -2 & 0 & 2 & -3 \\ -3 & 4 & 5 & -1 & 3 \\ 3 & -2 & -3 & -5 & 0 \\ 2 & 4 & -5 & 2 & 4 \\ -4 & -4 & 4 & -5 & 4 \end{bmatrix},\det(A) = -7874
C_5x5_det_080,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -2 & 4 & 4 & -2 \\ 4 & -3 & -4 & 0 & 5 \\ 3 & -5 & -1 & 0 & -1 \\ 3 & 0 & 4 & 5 & -4 \\ 2 & -1 & -5 & -5 & -4 \end{bmatrix},\det(A) = 542
C_5x5_det_081,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 3 & -5 & 0 & 2 \\ 1 & -4 & 2 & -4 & -2 \\ -5 & 4 & 4 & 0 & -3 \\ -1 & -1 & -2 & 4 & -3 \\ 0 & 4 & 0 & 1 & 5 \end{bmatrix},\det(A) = 315
