Problem_ID,Subcat,problem_text,problem_latex,answer_latex
C_4x4_det_011,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & -4 & 3 & 1 \\ -2 & 1 & 1 & 4 \\ 5 & 3 & 1 & -1 \\ -1 & 2 & -2 & -3 \end{bmatrix},\det(A) = 288
C_4x4_det_012,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & 4 & -3 & -1 \\ 4 & 1 & -5 & -4 \\ 2 & -5 & -2 & 3 \\ 2 & -1 & -5 & -1 \end{bmatrix},\det(A) = -314
C_4x4_det_013,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 3 & 2 & 1 \\ 3 & 0 & 4 & -2 \\ -2 & 3 & -3 & 1 \\ 4 & -1 & 0 & -4 \end{bmatrix},\det(A) = 135
C_4x4_det_014,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & 2 & -5 & 4 \\ -2 & -1 & -2 & -3 \\ 5 & -2 & 4 & -3 \\ 1 & 4 & 4 & -4 \end{bmatrix},\det(A) = 1031
C_4x4_det_015,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -4 & 1 & 1 \\ 4 & -1 & 5 & -1 \\ 0 & 0 & 2 & -4 \\ -5 & 0 & -1 & 5 \end{bmatrix},\det(A) = 414
C_4x4_det_016,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & 5 & -4 & 2 \\ -5 & 0 & 0 & 4 \\ -3 & -2 & -5 & 3 \\ -5 & -2 & 3 & -1 \end{bmatrix},\det(A) = 388
C_4x4_det_017,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & 5 & -3 & 5 \\ -1 & 3 & 3 & 1 \\ -4 & -3 & 3 & -3 \\ 5 & -4 & 0 & -3 \end{bmatrix},\det(A) = -72
C_4x4_det_018,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & -5 & 0 & 5 \\ 4 & 5 & -4 & -2 \\ 5 & 0 & -2 & 3 \\ 5 & 2 & 5 & -4 \end{bmatrix},\det(A) = -262
C_4x4_det_019,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 5 & -4 & 3 \\ 4 & 1 & 3 & -1 \\ -2 & 0 & -5 & -1 \\ 2 & 0 & 5 & 4 \end{bmatrix},\det(A) = 171
C_4x4_det_020,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & 0 & 5 & 0 \\ -4 & 5 & -2 & 2 \\ -5 & -5 & -2 & -5 \\ -3 & -1 & -4 & 5 \end{bmatrix},\det(A) = 978
C_4x4_det_021,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -5 & 0 & -5 \\ 3 & 5 & 3 & 2 \\ -5 & -2 & 1 & 1 \\ -1 & -1 & 3 & 3 \end{bmatrix},\det(A) = 390
C_4x4_det_022,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -2 & -4 & 3 & -2 \\ -2 & 2 & 2 & 4 \\ -3 & 4 & 4 & 0 \\ -1 & 5 & 5 & -5 \end{bmatrix},\det(A) = -238
C_4x4_det_023,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -1 & 3 & 1 \\ -3 & -3 & 3 & -1 \\ 5 & 0 & -2 & -2 \\ 1 & 3 & -2 & 1 \end{bmatrix},\det(A) = -52
C_4x4_det_024,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & 5 & 3 & 4 \\ 4 & -2 & 1 & -5 \\ 3 & 5 & -5 & 1 \\ -3 & -1 & -5 & -4 \end{bmatrix},\det(A) = -1561
C_4x4_det_025,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -1 & 0 & -5 \\ -1 & 2 & 2 & 0 \\ -2 & 5 & -1 & -4 \\ 0 & -1 & 5 & 2 \end{bmatrix},\det(A) = -82
C_4x4_det_026,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & -4 & 1 & 3 \\ -2 & 2 & 3 & 4 \\ 1 & 1 & -4 & -1 \\ 2 & 3 & -2 & -2 \end{bmatrix},\det(A) = 382
C_4x4_det_027,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -5 & -3 & 3 \\ 2 & 3 & 3 & 4 \\ -2 & -1 & 1 & 3 \\ -1 & 2 & -4 & -2 \end{bmatrix},\det(A) = 536
C_4x4_det_028,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 3 & -5 & 5 \\ 3 & -2 & 2 & -2 \\ -4 & 1 & 4 & 4 \\ -5 & 1 & -5 & 5 \end{bmatrix},\det(A) = -528
C_4x4_det_029,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -1 & 5 & 0 & 2 \\ -5 & 2 & 1 & -4 \\ -1 & -2 & -5 & 3 \\ 2 & -1 & -2 & -3 \end{bmatrix},\det(A) = 741
C_4x4_det_030,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -5 & 0 & -3 \\ -5 & 1 & -2 & 5 \\ 2 & -1 & 5 & 3 \\ 0 & -4 & -5 & 4 \end{bmatrix},\det(A) = -814
C_4x4_det_031,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & -4 & 2 & 2 \\ -5 & -2 & -2 & -2 \\ -5 & 4 & 3 & -2 \\ -4 & -3 & -2 & -3 \end{bmatrix},\det(A) = 330
C_4x4_det_032,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & -1 & -5 & -1 \\ -5 & -5 & 3 & -1 \\ 2 & 5 & -3 & -5 \\ 4 & 4 & 3 & -3 \end{bmatrix},\det(A) = -1356
C_4x4_det_033,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & -5 & 2 & 3 \\ -2 & 3 & -1 & 2 \\ 5 & -3 & -3 & 0 \\ 2 & 0 & 0 & 3 \end{bmatrix},\det(A) = 123
C_4x4_det_034,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & 4 & 2 & -4 \\ -3 & -1 & -2 & -2 \\ 1 & -1 & -5 & 0 \\ 1 & -3 & -1 & 5 \end{bmatrix},\det(A) = -60
C_4x4_det_035,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & 2 & 4 & 2 \\ 2 & -5 & -3 & 2 \\ -1 & -4 & 0 & 0 \\ 0 & 0 & 2 & 3 \end{bmatrix},\det(A) = 182
C_4x4_det_036,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & 5 & -1 & -4 \\ -4 & -2 & 1 & -4 \\ -3 & 1 & -2 & 3 \\ -3 & 5 & 3 & 0 \end{bmatrix},\det(A) = -937
C_4x4_det_037,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 2 & -2 & -4 \\ -1 & -2 & -2 & 1 \\ 2 & 1 & -5 & 5 \\ -3 & -4 & -2 & -5 \end{bmatrix},\det(A) = -40
C_4x4_det_038,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -5 & 1 & -2 \\ 5 & 5 & -5 & 5 \\ -2 & 5 & -4 & -1 \\ 5 & 1 & -3 & 0 \end{bmatrix},\det(A) = 250
C_4x4_det_039,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & 2 & -3 & 5 \\ 5 & 4 & -2 & 5 \\ 3 & -3 & 1 & -1 \\ 3 & -4 & 0 & -3 \end{bmatrix},\det(A) = -298
C_4x4_det_040,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -2 & 1 & -5 & -1 \\ 3 & 4 & 5 & 3 \\ 5 & 5 & -4 & -2 \\ -5 & 4 & 0 & 0 \end{bmatrix},\det(A) = -648
C_4x4_det_041,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & 0 & 4 & -1 \\ -4 & -3 & -5 & 5 \\ -3 & -3 & -4 & 1 \\ 4 & 2 & 0 & 4 \end{bmatrix},\det(A) = 66
C_4x4_det_042,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -3 & 4 & 3 \\ -2 & -3 & -4 & 2 \\ 2 & 4 & -5 & -5 \\ 1 & -1 & 1 & -1 \end{bmatrix},\det(A) = 141
C_4x4_det_043,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & 0 & 4 & -4 \\ -3 & -4 & 4 & -1 \\ 0 & 3 & -4 & 1 \\ 2 & -4 & -4 & -1 \end{bmatrix},\det(A) = 380
C_4x4_det_044,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -2 & -1 & 5 & 3 \\ 3 & 2 & 0 & 3 \\ 4 & 2 & 3 & 1 \\ 4 & -5 & -4 & -1 \end{bmatrix},\det(A) = -653
C_4x4_det_045,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 1 & 4 & 3 \\ 0 & -3 & 2 & 2 \\ 1 & 4 & -2 & 1 \\ 3 & -4 & 0 & -5 \end{bmatrix},\det(A) = -224
C_4x4_det_046,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & 2 & 5 & 4 \\ -1 & -2 & -3 & -2 \\ 4 & -3 & 1 & -2 \\ 0 & -5 & 5 & 4 \end{bmatrix},\det(A) = -328
C_4x4_det_047,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 5 & 3 & -3 \\ 4 & 5 & -5 & -4 \\ 5 & -4 & -5 & 3 \\ 0 & -5 & 3 & 5 \end{bmatrix},\det(A) = -121
C_4x4_det_048,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 0 & -5 & -1 \\ 1 & -1 & -4 & -3 \\ 5 & 4 & 0 & -5 \\ -3 & 1 & -2 & -2 \end{bmatrix},\det(A) = 331
C_4x4_det_049,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & -2 & 4 & -3 \\ 4 & -5 & -5 & -5 \\ 2 & 2 & -5 & 4 \\ 5 & 2 & 5 & -1 \end{bmatrix},\det(A) = 60
C_4x4_det_050,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & 5 & -4 & -4 \\ 5 & 5 & -2 & -1 \\ -5 & -3 & -3 & -5 \\ -2 & -4 & -2 & -4 \end{bmatrix},\det(A) = -26
C_4x4_det_051,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & 2 & 4 & 0 \\ 4 & 0 & -5 & 4 \\ 2 & -1 & -3 & -5 \\ -5 & 2 & -1 & 2 \end{bmatrix},\det(A) = 206
C_4x4_det_052,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -3 & -4 & 2 \\ 3 & -5 & 2 & 0 \\ 4 & -4 & 1 & 3 \\ -1 & -1 & 0 & 4 \end{bmatrix},\det(A) = -274
C_4x4_det_053,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -3 & 4 & 3 \\ 4 & -4 & -5 & -1 \\ 2 & -5 & -2 & -2 \\ -2 & -3 & -5 & 4 \end{bmatrix},\det(A) = -702
C_4x4_det_054,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & -5 & -5 & 4 \\ -4 & -1 & -2 & 4 \\ -2 & -1 & 5 & 4 \\ 4 & 2 & 5 & -3 \end{bmatrix},\det(A) = -345
C_4x4_det_055,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -1 & -2 & -2 & -1 \\ -5 & -4 & 2 & -3 \\ -3 & 1 & 2 & 4 \\ -4 & 1 & -5 & 1 \end{bmatrix},\det(A) = -348
C_4x4_det_056,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 5 & 5 & -1 \\ 0 & 0 & 1 & 4 \\ 0 & 4 & 4 & -5 \\ 1 & 5 & 1 & 1 \end{bmatrix},\det(A) = -72
C_4x4_det_057,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & -5 & 0 & -1 \\ -3 & -3 & 1 & -2 \\ 1 & 4 & -2 & 1 \\ 1 & 1 & 5 & -1 \end{bmatrix},\det(A) = -93
C_4x4_det_058,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & 1 & 2 & 2 \\ -5 & -2 & 3 & -1 \\ 4 & -2 & -2 & 3 \\ 2 & 4 & -3 & 0 \end{bmatrix},\det(A) = 111
C_4x4_det_059,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -5 & -5 & 4 \\ -1 & -5 & 2 & -1 \\ -1 & -2 & -3 & -3 \\ 0 & -1 & -1 & -1 \end{bmatrix},\det(A) = -81
C_4x4_det_060,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & -4 & 3 & 3 \\ 4 & -5 & -1 & 5 \\ -5 & 4 & -1 & -4 \\ -4 & -3 & -2 & -4 \end{bmatrix},\det(A) = 333
C_4x4_det_061,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -4 & -3 & 1 \\ -2 & -5 & -3 & -3 \\ 0 & -5 & 1 & 2 \\ -5 & 4 & 0 & 5 \end{bmatrix},\det(A) = -885
C_4x4_det_062,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -3 & -5 & 0 \\ -2 & 4 & 3 & -3 \\ 1 & 3 & 1 & 2 \\ 3 & -3 & -5 & -4 \end{bmatrix},\det(A) = -80
C_4x4_det_063,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -2 & -2 & 0 \\ -2 & 3 & 5 & -3 \\ -3 & -2 & -5 & 5 \\ -1 & -4 & 1 & -1 \end{bmatrix},\det(A) = 296
C_4x4_det_064,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 1 & -4 & -4 \\ -5 & 2 & -1 & -5 \\ -1 & 0 & 3 & 3 \\ -4 & 2 & 4 & 1 \end{bmatrix},\det(A) = -18
C_4x4_det_065,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & 4 & 4 & 3 \\ -3 & 3 & 3 & 0 \\ 2 & -5 & -2 & -5 \\ -4 & -3 & 5 & -1 \end{bmatrix},\det(A) = 750
C_4x4_det_066,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -1 & 2 & -3 & 1 \\ -3 & 4 & -2 & 0 \\ 1 & 1 & -5 & 1 \\ 4 & 2 & -5 & 1 \end{bmatrix},\det(A) = 40
C_4x4_det_067,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & -3 & -5 & 5 \\ -2 & -1 & 1 & -2 \\ 2 & -5 & 3 & 2 \\ 3 & -4 & 5 & -1 \end{bmatrix},\det(A) = 62
C_4x4_det_068,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -2 & -4 & 1 \\ 2 & 5 & -4 & -4 \\ -4 & -1 & -1 & 3 \\ -3 & -3 & -3 & 3 \end{bmatrix},\det(A) = 45
C_4x4_det_069,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -2 & -4 & -4 & 1 \\ -3 & 4 & -4 & -3 \\ 5 & -1 & -4 & 1 \\ 5 & -3 & 2 & -1 \end{bmatrix},\det(A) = -870
C_4x4_det_070,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & 3 & 2 & 4 \\ 1 & 5 & -1 & 5 \\ -3 & 5 & 4 & 4 \\ 1 & 4 & 3 & 1 \end{bmatrix},\det(A) = -486
C_4x4_det_071,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 4 & 5 & -3 \\ 5 & -1 & 4 & 0 \\ -1 & -2 & -1 & 5 \\ -2 & 5 & 2 & 2 \end{bmatrix},\det(A) = -166
C_4x4_det_072,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & 3 & 4 & -3 \\ 5 & 1 & -4 & 5 \\ 5 & 4 & -1 & -5 \\ 1 & 1 & 2 & 4 \end{bmatrix},\det(A) = 550
C_4x4_det_073,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -4 & 0 & 1 \\ 4 & -5 & -4 & -1 \\ -3 & 2 & -1 & -4 \\ -3 & 5 & 4 & -1 \end{bmatrix},\det(A) = 175
C_4x4_det_074,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & 2 & 4 & 1 \\ 5 & -4 & -3 & -4 \\ -4 & -2 & -2 & -3 \\ -3 & -3 & -1 & -3 \end{bmatrix},\det(A) = -106
C_4x4_det_075,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -4 & -5 & 1 \\ 3 & 5 & 4 & -4 \\ -4 & -4 & 5 & -5 \\ 5 & 3 & 3 & -5 \end{bmatrix},\det(A) = 212
C_4x4_det_076,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & -1 & -5 & -5 \\ -4 & 4 & 3 & -1 \\ 3 & -3 & 0 & 2 \\ 4 & -1 & 5 & -3 \end{bmatrix},\det(A) = -96
C_4x4_det_077,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 1 & 5 & 3 \\ 5 & -3 & -3 & 3 \\ -1 & -2 & 5 & -2 \\ 2 & -2 & 0 & 1 \end{bmatrix},\det(A) = -31
C_4x4_det_078,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -1 & -2 & -5 & -5 \\ 5 & 5 & -2 & -1 \\ 5 & 4 & 1 & -4 \\ 5 & -1 & 5 & -5 \end{bmatrix},\det(A) = 709
C_4x4_det_079,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & -1 & -3 & -3 \\ -4 & -3 & 4 & 0 \\ 0 & -3 & -4 & -3 \\ 3 & 4 & 2 & -5 \end{bmatrix},\det(A) = 943
C_4x4_det_080,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -3 & 1 & 5 \\ -3 & -1 & -3 & 0 \\ -1 & -3 & -1 & -4 \\ 3 & -3 & -3 & 0 \end{bmatrix},\det(A) = 504
C_4x4_det_081,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 4 & -3 & -3 \\ 3 & 3 & 0 & 4 \\ -4 & 5 & -1 & 3 \\ 0 & -3 & -1 & 0 \end{bmatrix},\det(A) = -456
C_4x4_det_082,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -1 & 5 & -5 & 3 \\ -2 & 2 & 3 & -5 \\ 4 & 5 & 2 & -3 \\ -1 & -4 & -1 & -2 \end{bmatrix},\det(A) = -822
C_4x4_det_083,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & -4 & -1 & 0 \\ 1 & -3 & 3 & -5 \\ -5 & 0 & 3 & 0 \\ 0 & -3 & -5 & 3 \end{bmatrix},\det(A) = 124
C_4x4_det_084,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & -4 & -4 & 3 \\ 3 & 5 & 5 & 5 \\ 1 & -5 & -2 & 4 \\ -1 & -5 & 5 & 2 \end{bmatrix},\det(A) = -328
C_4x4_det_085,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 3 & 4 & -2 \\ 2 & -4 & 5 & 4 \\ -4 & 4 & 2 & 5 \\ 2 & 0 & 4 & -4 \end{bmatrix},\det(A) = 418
C_4x4_det_086,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & -3 & 2 & 0 \\ -2 & -5 & 0 & -1 \\ 3 & 1 & -1 & -2 \\ -2 & 1 & -1 & -5 \end{bmatrix},\det(A) = -116
C_4x4_det_087,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & 4 & 0 & 5 \\ -1 & -2 & -1 & 0 \\ 5 & -5 & -5 & 3 \\ 0 & 3 & 5 & -3 \end{bmatrix},\det(A) = -183
C_4x4_det_088,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -2 & 4 & -4 \\ -1 & -5 & 0 & 0 \\ -5 & -4 & -1 & -5 \\ -3 & -5 & 3 & -4 \end{bmatrix},\det(A) = 91
C_4x4_det_089,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & 3 & -5 & -3 \\ 1 & 5 & 5 & 1 \\ -3 & -4 & 3 & -4 \\ -1 & 3 & -1 & -3 \end{bmatrix},\det(A) = -1084
C_4x4_det_090,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & -2 & 2 & 3 \\ -4 & 1 & 2 & -3 \\ -2 & -5 & -5 & 2 \\ 1 & -4 & -4 & -3 \end{bmatrix},\det(A) = -610
C_4x4_det_091,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & -4 & -2 & 1 \\ 1 & 2 & 5 & 1 \\ -3 & 1 & 3 & -4 \\ -4 & -1 & -2 & 4 \end{bmatrix},\det(A) = 522
C_4x4_det_092,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & 0 & -4 & 3 \\ 1 & 0 & -4 & 1 \\ -2 & 4 & 4 & 2 \\ 1 & 4 & -4 & -4 \end{bmatrix},\det(A) = -416
C_4x4_det_093,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 4 & 1 & -2 & 1 \\ 5 & 3 & 3 & 0 \\ 3 & -1 & -2 & -4 \\ -2 & 4 & -2 & -2 \end{bmatrix},\det(A) = -660
C_4x4_det_094,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & -3 & -5 & 1 \\ 3 & 4 & 5 & -5 \\ -4 & -2 & 3 & 5 \\ 4 & -5 & 4 & 5 \end{bmatrix},\det(A) = -273
C_4x4_det_095,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 0 & 4 & 3 & -2 \\ -5 & 1 & -5 & 4 \\ -5 & 4 & 3 & -2 \\ -2 & 5 & 5 & -5 \end{bmatrix},\det(A) = -175
C_4x4_det_096,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -4 & -1 & 0 & 5 \\ 4 & 1 & -4 & 0 \\ -5 & -5 & -4 & -1 \\ 2 & -5 & -4 & -1 \end{bmatrix},\det(A) = 868
C_4x4_det_097,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 0 & -3 & -1 \\ -4 & 0 & 4 & -3 \\ 1 & 5 & -5 & 3 \\ 0 & -3 & -2 & 4 \end{bmatrix},\det(A) = 368
C_4x4_det_098,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -3 & -3 & 4 & -4 \\ 3 & 0 & 5 & -4 \\ 2 & 1 & -2 & 3 \\ 3 & 2 & -1 & 5 \end{bmatrix},\det(A) = -77
C_4x4_det_099,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 5 & 2 & -5 & 5 \\ 2 & 1 & 0 & 5 \\ 5 & -2 & 0 & -2 \\ -5 & 1 & -3 & 4 \end{bmatrix},\det(A) = 394
C_4x4_det_100,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 3 & -5 & -5 \\ 0 & 3 & -4 & 4 \\ -2 & 2 & -1 & -1 \\ 3 & 2 & -2 & -4 \end{bmatrix},\det(A) = 218
C_4x4_det_101,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -3 & 3 & 1 \\ 2 & -1 & -2 & 3 \\ -5 & -3 & 3 & 3 \\ 5 & -1 & 5 & 2 \end{bmatrix},\det(A) = -472
C_4x4_det_102,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 1 & 3 & -3 & -3 \\ 4 & 5 & -3 & 2 \\ 1 & 1 & -2 & 4 \\ 2 & 2 & 3 & 5 \end{bmatrix},\det(A) = 114
C_4x4_det_103,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 2 & 2 & -3 & 5 \\ 0 & 1 & 3 & 5 \\ -4 & -5 & -4 & 1 \\ 1 & 3 & -2 & 3 \end{bmatrix},\det(A) = 341
C_4x4_det_104,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} -5 & 2 & -1 & 4 \\ 2 & -4 & 2 & -4 \\ -1 & 4 & 1 & -3 \\ 1 & -1 & 5 & -1 \end{bmatrix},\det(A) = 480
C_4x4_det_105,determinant,Find the determinant of the 4×4 matrix A.,A = \begin{bmatrix} 3 & -4 & 3 & -1 \\ -3 & 0 & 2 & 5 \\ 1 & -4 & -4 & -1 \\ 4 & 1 & -5 & -1 \end{bmatrix},\det(A) = 710
