Problem_ID,n,trig,b,problem_latex,answer_latex
IBP_n01_sin_b10_07,1,sin,10,"Evaluate the indefinite integral.

\int x \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(10 x \right)}}{10} + \frac{\sin{\left(10 x \right)}}{100}
IBP_n01_sin_b08_08,1,sin,8,"Evaluate the indefinite integral.

\int x \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(8 x \right)}}{8} + \frac{\sin{\left(8 x \right)}}{64}
IBP_n01_sin_b07_09,1,sin,7,"Evaluate the indefinite integral.

\int x \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(7 x \right)}}{7} + \frac{\sin{\left(7 x \right)}}{49}
IBP_n01_cos_b04_00,1,cos,4,"Evaluate the indefinite integral.

\int x \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(4 x \right)}}{4} + \frac{\cos{\left(4 x \right)}}{16}
IBP_n01_cos_b06_01,1,cos,6,"Evaluate the indefinite integral.

\int x \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(6 x \right)}}{6} + \frac{\cos{\left(6 x \right)}}{36}
IBP_n01_cos_b08_02,1,cos,8,"Evaluate the indefinite integral.

\int x \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(8 x \right)}}{8} + \frac{\cos{\left(8 x \right)}}{64}
IBP_n01_cos_b07_03,1,cos,7,"Evaluate the indefinite integral.

\int x \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(7 x \right)}}{7} + \frac{\cos{\left(7 x \right)}}{49}
IBP_n01_cos_b02_04,1,cos,2,"Evaluate the indefinite integral.

\int x \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(2 x \right)}}{2} + \frac{\cos{\left(2 x \right)}}{4}
IBP_n01_cos_b05_05,1,cos,5,"Evaluate the indefinite integral.

\int x \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(5 x \right)}}{5} + \frac{\cos{\left(5 x \right)}}{25}
IBP_n01_cos_b01_06,1,cos,1,"Evaluate the indefinite integral.

\int x \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",x \sin{\left(x \right)} + \cos{\left(x \right)}
IBP_n01_cos_b03_07,1,cos,3,"Evaluate the indefinite integral.

\int x \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(3 x \right)}}{3} + \frac{\cos{\left(3 x \right)}}{9}
IBP_n01_cos_b09_08,1,cos,9,"Evaluate the indefinite integral.

\int x \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(9 x \right)}}{9} + \frac{\cos{\left(9 x \right)}}{81}
IBP_n01_cos_b10_09,1,cos,10,"Evaluate the indefinite integral.

\int x \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(10 x \right)}}{10} + \frac{\cos{\left(10 x \right)}}{100}
IBP_n02_sin_b02_00,2,sin,2,"Evaluate the indefinite integral.

\int x^{2} \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(2 x \right)}}{2} + \frac{x \sin{\left(2 x \right)}}{2} + \frac{\cos{\left(2 x \right)}}{4}
IBP_n02_sin_b09_01,2,sin,9,"Evaluate the indefinite integral.

\int x^{2} \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(9 x \right)}}{9} + \frac{2 x \sin{\left(9 x \right)}}{81} + \frac{2 \cos{\left(9 x \right)}}{729}
IBP_n02_sin_b06_02,2,sin,6,"Evaluate the indefinite integral.

\int x^{2} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(6 x \right)}}{6} + \frac{x \sin{\left(6 x \right)}}{18} + \frac{\cos{\left(6 x \right)}}{108}
IBP_n02_sin_b01_03,2,sin,1,"Evaluate the indefinite integral.

\int x^{2} \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x^{2} \cos{\left(x \right)} + 2 x \sin{\left(x \right)} + 2 \cos{\left(x \right)}
IBP_n02_sin_b05_04,2,sin,5,"Evaluate the indefinite integral.

\int x^{2} \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(5 x \right)}}{5} + \frac{2 x \sin{\left(5 x \right)}}{25} + \frac{2 \cos{\left(5 x \right)}}{125}
IBP_n02_sin_b03_05,2,sin,3,"Evaluate the indefinite integral.

\int x^{2} \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(3 x \right)}}{3} + \frac{2 x \sin{\left(3 x \right)}}{9} + \frac{2 \cos{\left(3 x \right)}}{27}
IBP_n02_sin_b04_06,2,sin,4,"Evaluate the indefinite integral.

\int x^{2} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(4 x \right)}}{4} + \frac{x \sin{\left(4 x \right)}}{8} + \frac{\cos{\left(4 x \right)}}{32}
IBP_n02_sin_b08_07,2,sin,8,"Evaluate the indefinite integral.

\int x^{2} \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(8 x \right)}}{8} + \frac{x \sin{\left(8 x \right)}}{32} + \frac{\cos{\left(8 x \right)}}{256}
IBP_n02_sin_b07_08,2,sin,7,"Evaluate the indefinite integral.

\int x^{2} \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(7 x \right)}}{7} + \frac{2 x \sin{\left(7 x \right)}}{49} + \frac{2 \cos{\left(7 x \right)}}{343}
IBP_n02_sin_b10_09,2,sin,10,"Evaluate the indefinite integral.

\int x^{2} \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(10 x \right)}}{10} + \frac{x \sin{\left(10 x \right)}}{50} + \frac{\cos{\left(10 x \right)}}{500}
IBP_n02_cos_b02_00,2,cos,2,"Evaluate the indefinite integral.

\int x^{2} \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(2 x \right)}}{2} + \frac{x \cos{\left(2 x \right)}}{2} - \frac{\sin{\left(2 x \right)}}{4}
IBP_n02_cos_b05_01,2,cos,5,"Evaluate the indefinite integral.

\int x^{2} \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(5 x \right)}}{5} + \frac{2 x \cos{\left(5 x \right)}}{25} - \frac{2 \sin{\left(5 x \right)}}{125}
IBP_n02_cos_b07_02,2,cos,7,"Evaluate the indefinite integral.

\int x^{2} \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(7 x \right)}}{7} + \frac{2 x \cos{\left(7 x \right)}}{49} - \frac{2 \sin{\left(7 x \right)}}{343}
IBP_n02_cos_b09_03,2,cos,9,"Evaluate the indefinite integral.

\int x^{2} \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(9 x \right)}}{9} + \frac{2 x \cos{\left(9 x \right)}}{81} - \frac{2 \sin{\left(9 x \right)}}{729}
IBP_n02_cos_b06_04,2,cos,6,"Evaluate the indefinite integral.

\int x^{2} \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(6 x \right)}}{6} + \frac{x \cos{\left(6 x \right)}}{18} - \frac{\sin{\left(6 x \right)}}{108}
IBP_n02_cos_b08_05,2,cos,8,"Evaluate the indefinite integral.

\int x^{2} \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(8 x \right)}}{8} + \frac{x \cos{\left(8 x \right)}}{32} - \frac{\sin{\left(8 x \right)}}{256}
IBP_n02_cos_b01_06,2,cos,1,"Evaluate the indefinite integral.

\int x^{2} \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",x^{2} \sin{\left(x \right)} + 2 x \cos{\left(x \right)} - 2 \sin{\left(x \right)}
IBP_n02_cos_b10_07,2,cos,10,"Evaluate the indefinite integral.

\int x^{2} \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(10 x \right)}}{10} + \frac{x \cos{\left(10 x \right)}}{50} - \frac{\sin{\left(10 x \right)}}{500}
IBP_n02_cos_b03_08,2,cos,3,"Evaluate the indefinite integral.

\int x^{2} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(3 x \right)}}{3} + \frac{2 x \cos{\left(3 x \right)}}{9} - \frac{2 \sin{\left(3 x \right)}}{27}
IBP_n02_cos_b04_09,2,cos,4,"Evaluate the indefinite integral.

\int x^{2} \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(4 x \right)}}{4} + \frac{x \cos{\left(4 x \right)}}{8} - \frac{\sin{\left(4 x \right)}}{32}
IBP_n03_sin_b09_00,3,sin,9,"Evaluate the indefinite integral.

\int x^{3} \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(9 x \right)}}{9} + \frac{x^{2} \sin{\left(9 x \right)}}{27} + \frac{2 x \cos{\left(9 x \right)}}{243} - \frac{2 \sin{\left(9 x \right)}}{2187}
IBP_n03_sin_b01_01,3,sin,1,"Evaluate the indefinite integral.

\int x^{3} \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x^{3} \cos{\left(x \right)} + 3 x^{2} \sin{\left(x \right)} + 6 x \cos{\left(x \right)} - 6 \sin{\left(x \right)}
IBP_n03_sin_b06_02,3,sin,6,"Evaluate the indefinite integral.

\int x^{3} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(6 x \right)}}{6} + \frac{x^{2} \sin{\left(6 x \right)}}{12} + \frac{x \cos{\left(6 x \right)}}{36} - \frac{\sin{\left(6 x \right)}}{216}
IBP_n03_sin_b05_03,3,sin,5,"Evaluate the indefinite integral.

\int x^{3} \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(5 x \right)}}{5} + \frac{3 x^{2} \sin{\left(5 x \right)}}{25} + \frac{6 x \cos{\left(5 x \right)}}{125} - \frac{6 \sin{\left(5 x \right)}}{625}
IBP_n03_sin_b03_04,3,sin,3,"Evaluate the indefinite integral.

\int x^{3} \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(3 x \right)}}{3} + \frac{x^{2} \sin{\left(3 x \right)}}{3} + \frac{2 x \cos{\left(3 x \right)}}{9} - \frac{2 \sin{\left(3 x \right)}}{27}
IBP_n03_sin_b04_05,3,sin,4,"Evaluate the indefinite integral.

\int x^{3} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(4 x \right)}}{4} + \frac{3 x^{2} \sin{\left(4 x \right)}}{16} + \frac{3 x \cos{\left(4 x \right)}}{32} - \frac{3 \sin{\left(4 x \right)}}{128}
IBP_n03_sin_b10_06,3,sin,10,"Evaluate the indefinite integral.

\int x^{3} \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(10 x \right)}}{10} + \frac{3 x^{2} \sin{\left(10 x \right)}}{100} + \frac{3 x \cos{\left(10 x \right)}}{500} - \frac{3 \sin{\left(10 x \right)}}{5000}
IBP_n03_sin_b08_07,3,sin,8,"Evaluate the indefinite integral.

\int x^{3} \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(8 x \right)}}{8} + \frac{3 x^{2} \sin{\left(8 x \right)}}{64} + \frac{3 x \cos{\left(8 x \right)}}{256} - \frac{3 \sin{\left(8 x \right)}}{2048}
IBP_n03_sin_b02_08,3,sin,2,"Evaluate the indefinite integral.

\int x^{3} \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(2 x \right)}}{2} + \frac{3 x^{2} \sin{\left(2 x \right)}}{4} + \frac{3 x \cos{\left(2 x \right)}}{4} - \frac{3 \sin{\left(2 x \right)}}{8}
IBP_n03_sin_b07_09,3,sin,7,"Evaluate the indefinite integral.

\int x^{3} \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{3} \cos{\left(7 x \right)}}{7} + \frac{3 x^{2} \sin{\left(7 x \right)}}{49} + \frac{6 x \cos{\left(7 x \right)}}{343} - \frac{6 \sin{\left(7 x \right)}}{2401}
IBP_n03_cos_b02_00,3,cos,2,"Evaluate the indefinite integral.

\int x^{3} \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(2 x \right)}}{2} + \frac{3 x^{2} \cos{\left(2 x \right)}}{4} - \frac{3 x \sin{\left(2 x \right)}}{4} - \frac{3 \cos{\left(2 x \right)}}{8}
IBP_n03_cos_b10_01,3,cos,10,"Evaluate the indefinite integral.

\int x^{3} \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(10 x \right)}}{10} + \frac{3 x^{2} \cos{\left(10 x \right)}}{100} - \frac{3 x \sin{\left(10 x \right)}}{500} - \frac{3 \cos{\left(10 x \right)}}{5000}
IBP_n03_cos_b01_02,3,cos,1,"Evaluate the indefinite integral.

\int x^{3} \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",x^{3} \sin{\left(x \right)} + 3 x^{2} \cos{\left(x \right)} - 6 x \sin{\left(x \right)} - 6 \cos{\left(x \right)}
IBP_n03_cos_b07_03,3,cos,7,"Evaluate the indefinite integral.

\int x^{3} \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(7 x \right)}}{7} + \frac{3 x^{2} \cos{\left(7 x \right)}}{49} - \frac{6 x \sin{\left(7 x \right)}}{343} - \frac{6 \cos{\left(7 x \right)}}{2401}
IBP_n03_cos_b04_04,3,cos,4,"Evaluate the indefinite integral.

\int x^{3} \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(4 x \right)}}{4} + \frac{3 x^{2} \cos{\left(4 x \right)}}{16} - \frac{3 x \sin{\left(4 x \right)}}{32} - \frac{3 \cos{\left(4 x \right)}}{128}
IBP_n03_cos_b05_05,3,cos,5,"Evaluate the indefinite integral.

\int x^{3} \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(5 x \right)}}{5} + \frac{3 x^{2} \cos{\left(5 x \right)}}{25} - \frac{6 x \sin{\left(5 x \right)}}{125} - \frac{6 \cos{\left(5 x \right)}}{625}
IBP_n03_cos_b06_06,3,cos,6,"Evaluate the indefinite integral.

\int x^{3} \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(6 x \right)}}{6} + \frac{x^{2} \cos{\left(6 x \right)}}{12} - \frac{x \sin{\left(6 x \right)}}{36} - \frac{\cos{\left(6 x \right)}}{216}
IBP_n03_cos_b09_07,3,cos,9,"Evaluate the indefinite integral.

\int x^{3} \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(9 x \right)}}{9} + \frac{x^{2} \cos{\left(9 x \right)}}{27} - \frac{2 x \sin{\left(9 x \right)}}{243} - \frac{2 \cos{\left(9 x \right)}}{2187}
IBP_n03_cos_b03_08,3,cos,3,"Evaluate the indefinite integral.

\int x^{3} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(3 x \right)}}{3} + \frac{x^{2} \cos{\left(3 x \right)}}{3} - \frac{2 x \sin{\left(3 x \right)}}{9} - \frac{2 \cos{\left(3 x \right)}}{27}
IBP_n03_cos_b08_09,3,cos,8,"Evaluate the indefinite integral.

\int x^{3} \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(8 x \right)}}{8} + \frac{3 x^{2} \cos{\left(8 x \right)}}{64} - \frac{3 x \sin{\left(8 x \right)}}{256} - \frac{3 \cos{\left(8 x \right)}}{2048}
IBP_n04_sin_b09_00,4,sin,9,"Evaluate the indefinite integral.

\int x^{4} \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(9 x \right)}}{9} + \frac{4 x^{3} \sin{\left(9 x \right)}}{81} + \frac{4 x^{2} \cos{\left(9 x \right)}}{243} - \frac{8 x \sin{\left(9 x \right)}}{2187} - \frac{8 \cos{\left(9 x \right)}}{19683}
IBP_n04_sin_b06_01,4,sin,6,"Evaluate the indefinite integral.

\int x^{4} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(6 x \right)}}{6} + \frac{x^{3} \sin{\left(6 x \right)}}{9} + \frac{x^{2} \cos{\left(6 x \right)}}{18} - \frac{x \sin{\left(6 x \right)}}{54} - \frac{\cos{\left(6 x \right)}}{324}
IBP_n04_sin_b02_02,4,sin,2,"Evaluate the indefinite integral.

\int x^{4} \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(2 x \right)}}{2} + x^{3} \sin{\left(2 x \right)} + \frac{3 x^{2} \cos{\left(2 x \right)}}{2} - \frac{3 x \sin{\left(2 x \right)}}{2} - \frac{3 \cos{\left(2 x \right)}}{4}
IBP_n04_sin_b04_03,4,sin,4,"Evaluate the indefinite integral.

\int x^{4} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(4 x \right)}}{4} + \frac{x^{3} \sin{\left(4 x \right)}}{4} + \frac{3 x^{2} \cos{\left(4 x \right)}}{16} - \frac{3 x \sin{\left(4 x \right)}}{32} - \frac{3 \cos{\left(4 x \right)}}{128}
IBP_n04_sin_b03_04,4,sin,3,"Evaluate the indefinite integral.

\int x^{4} \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(3 x \right)}}{3} + \frac{4 x^{3} \sin{\left(3 x \right)}}{9} + \frac{4 x^{2} \cos{\left(3 x \right)}}{9} - \frac{8 x \sin{\left(3 x \right)}}{27} - \frac{8 \cos{\left(3 x \right)}}{81}
IBP_n04_sin_b08_05,4,sin,8,"Evaluate the indefinite integral.

\int x^{4} \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(8 x \right)}}{8} + \frac{x^{3} \sin{\left(8 x \right)}}{16} + \frac{3 x^{2} \cos{\left(8 x \right)}}{128} - \frac{3 x \sin{\left(8 x \right)}}{512} - \frac{3 \cos{\left(8 x \right)}}{4096}
IBP_n04_sin_b01_06,4,sin,1,"Evaluate the indefinite integral.

\int x^{4} \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x^{4} \cos{\left(x \right)} + 4 x^{3} \sin{\left(x \right)} + 12 x^{2} \cos{\left(x \right)} - 24 x \sin{\left(x \right)} - 24 \cos{\left(x \right)}
IBP_n04_sin_b05_07,4,sin,5,"Evaluate the indefinite integral.

\int x^{4} \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(5 x \right)}}{5} + \frac{4 x^{3} \sin{\left(5 x \right)}}{25} + \frac{12 x^{2} \cos{\left(5 x \right)}}{125} - \frac{24 x \sin{\left(5 x \right)}}{625} - \frac{24 \cos{\left(5 x \right)}}{3125}
