Problem_ID,n,trig,b,seed,n_terms_in_answer,max_coefficient_magnitude,max_coefficient_magnitude_log10
IBP_n01_cos_b03_07,1,cos,3,20260915,2,3.0,0.4771
IBP_n01_cos_b09_08,1,cos,9,20260915,2,9.0,0.9542
IBP_n01_cos_b10_09,1,cos,10,20260915,2,10.0,1.0
IBP_n02_sin_b02_00,2,sin,2,20260915,3,2.0,0.301
IBP_n02_sin_b09_01,2,sin,9,20260915,3,9.0,0.9542
IBP_n02_sin_b06_02,2,sin,6,20260915,3,6.0,0.7782
IBP_n02_sin_b01_03,2,sin,1,20260915,3,2.0,0.301
IBP_n02_sin_b05_04,2,sin,5,20260915,3,5.0,0.699
IBP_n02_sin_b03_05,2,sin,3,20260915,3,3.0,0.4771
IBP_n02_sin_b04_06,2,sin,4,20260915,3,4.0,0.6021
IBP_n02_sin_b08_07,2,sin,8,20260915,3,8.0,0.9031
IBP_n02_sin_b07_08,2,sin,7,20260915,3,7.0,0.8451
IBP_n02_sin_b10_09,2,sin,10,20260915,3,10.0,1.0
IBP_n02_cos_b02_00,2,cos,2,20260915,3,2.0,0.301
IBP_n02_cos_b05_01,2,cos,5,20260915,3,5.0,0.699
IBP_n02_cos_b07_02,2,cos,7,20260915,3,7.0,0.8451
IBP_n02_cos_b09_03,2,cos,9,20260915,3,9.0,0.9542
IBP_n02_cos_b06_04,2,cos,6,20260915,3,6.0,0.7782
IBP_n02_cos_b08_05,2,cos,8,20260915,3,8.0,0.9031
IBP_n02_cos_b01_06,2,cos,1,20260915,3,2.0,0.301
IBP_n02_cos_b10_07,2,cos,10,20260915,3,10.0,1.0
IBP_n02_cos_b03_08,2,cos,3,20260915,3,3.0,0.4771
IBP_n02_cos_b04_09,2,cos,4,20260915,3,4.0,0.6021
IBP_n03_sin_b09_00,3,sin,9,20260915,4,9.0,0.9542
IBP_n03_sin_b01_01,3,sin,1,20260915,4,6.0,0.7782
IBP_n03_sin_b06_02,3,sin,6,20260915,4,6.0,0.7782
IBP_n03_sin_b05_03,3,sin,5,20260915,4,5.0,0.699
IBP_n03_sin_b03_04,3,sin,3,20260915,4,3.0,0.4771
IBP_n03_sin_b04_05,3,sin,4,20260915,4,4.0,0.6021
IBP_n03_sin_b10_06,3,sin,10,20260915,4,10.0,1.0
IBP_n03_sin_b08_07,3,sin,8,20260915,4,8.0,0.9031
IBP_n03_sin_b02_08,3,sin,2,20260915,4,3.0,0.4771
IBP_n03_sin_b07_09,3,sin,7,20260915,4,7.0,0.8451
IBP_n03_cos_b02_00,3,cos,2,20260915,4,3.0,0.4771
IBP_n03_cos_b10_01,3,cos,10,20260915,4,10.0,1.0
IBP_n03_cos_b01_02,3,cos,1,20260915,4,6.0,0.7782
IBP_n03_cos_b07_03,3,cos,7,20260915,4,7.0,0.8451
IBP_n03_cos_b04_04,3,cos,4,20260915,4,4.0,0.6021
IBP_n03_cos_b05_05,3,cos,5,20260915,4,5.0,0.699
IBP_n03_cos_b06_06,3,cos,6,20260915,4,6.0,0.7782
IBP_n03_cos_b09_07,3,cos,9,20260915,4,9.0,0.9542
IBP_n03_cos_b03_08,3,cos,3,20260915,4,3.0,0.4771
IBP_n03_cos_b08_09,3,cos,8,20260915,4,8.0,0.9031
IBP_n04_sin_b09_00,4,sin,9,20260915,5,9.0,0.9542
IBP_n04_sin_b06_01,4,sin,6,20260915,5,6.0,0.7782
IBP_n04_sin_b02_02,4,sin,2,20260915,5,4.0,0.6021
IBP_n04_sin_b04_03,4,sin,4,20260915,5,4.0,0.6021
IBP_n04_sin_b03_04,4,sin,3,20260915,5,4.0,0.6021
IBP_n04_sin_b08_05,4,sin,8,20260915,5,8.0,0.9031
IBP_n04_sin_b01_06,4,sin,1,20260915,5,24.0,1.3802
IBP_n04_sin_b05_07,4,sin,5,20260915,5,5.0,0.699
IBP_n04_sin_b07_08,4,sin,7,20260915,5,7.0,0.8451
IBP_n04_sin_b10_09,4,sin,10,20260915,5,10.0,1.0
IBP_n04_cos_b04_00,4,cos,4,20260915,5,4.0,0.6021
IBP_n04_cos_b01_01,4,cos,1,20260915,5,24.0,1.3802
IBP_n04_cos_b10_02,4,cos,10,20260915,5,10.0,1.0
IBP_n04_cos_b07_03,4,cos,7,20260915,5,7.0,0.8451
IBP_n04_cos_b06_04,4,cos,6,20260915,5,6.0,0.7782
IBP_n04_cos_b09_05,4,cos,9,20260915,5,9.0,0.9542
IBP_n04_cos_b03_06,4,cos,3,20260915,5,4.0,0.6021
IBP_n04_cos_b02_07,4,cos,2,20260915,5,4.0,0.6021
IBP_n04_cos_b05_08,4,cos,5,20260915,5,5.0,0.699
IBP_n04_cos_b08_09,4,cos,8,20260915,5,8.0,0.9031
IBP_n05_sin_b01_00,5,sin,1,20260915,6,120.0,2.0792
IBP_n05_sin_b04_01,5,sin,4,20260915,6,5.0,0.699
IBP_n05_sin_b10_02,5,sin,10,20260915,6,10.0,1.0
IBP_n05_sin_b05_03,5,sin,5,20260915,6,5.0,0.699
IBP_n05_sin_b08_04,5,sin,8,20260915,6,8.0,0.9031
IBP_n05_sin_b03_05,5,sin,3,20260915,6,5.0,0.699
IBP_n05_sin_b02_06,5,sin,2,20260915,6,5.0,0.699
IBP_n05_sin_b09_07,5,sin,9,20260915,6,9.0,0.9542
IBP_n05_sin_b06_08,5,sin,6,20260915,6,6.0,0.7782
IBP_n05_sin_b07_09,5,sin,7,20260915,6,7.0,0.8451
IBP_n05_cos_b04_00,5,cos,4,20260915,6,5.0,0.699
IBP_n05_cos_b06_01,5,cos,6,20260915,6,6.0,0.7782
IBP_n05_cos_b01_02,5,cos,1,20260915,6,120.0,2.0792
IBP_n05_cos_b05_03,5,cos,5,20260915,6,5.0,0.699
IBP_n05_cos_b02_04,5,cos,2,20260915,6,5.0,0.699
IBP_n05_cos_b07_05,5,cos,7,20260915,6,7.0,0.8451
IBP_n05_cos_b09_06,5,cos,9,20260915,6,9.0,0.9542
IBP_n05_cos_b10_07,5,cos,10,20260915,6,10.0,1.0
IBP_n05_cos_b03_08,5,cos,3,20260915,6,5.0,0.699
IBP_n05_cos_b08_09,5,cos,8,20260915,6,8.0,0.9031
IBP_n06_sin_b03_00,6,sin,3,20260915,7,6.0,0.7782
IBP_n06_sin_b02_01,6,sin,2,20260915,7,11.25,1.0512
IBP_n06_sin_b09_02,6,sin,9,20260915,7,9.0,0.9542
IBP_n06_sin_b10_03,6,sin,10,20260915,7,10.0,1.0
IBP_n06_sin_b04_04,6,sin,4,20260915,7,6.0,0.7782
IBP_n06_sin_b08_05,6,sin,8,20260915,7,8.0,0.9031
IBP_n06_sin_b07_06,6,sin,7,20260915,7,7.0,0.8451
IBP_n06_sin_b05_07,6,sin,5,20260915,7,6.0,0.7782
IBP_n06_sin_b06_08,6,sin,6,20260915,7,6.0,0.7782
IBP_n06_sin_b01_09,6,sin,1,20260915,7,720.0,2.8573
IBP_n06_cos_b04_00,6,cos,4,20260915,7,6.0,0.7782
IBP_n06_cos_b09_01,6,cos,9,20260915,7,9.0,0.9542
IBP_n06_cos_b06_02,6,cos,6,20260915,7,6.0,0.7782
IBP_n06_cos_b02_03,6,cos,2,20260915,7,11.25,1.0512
IBP_n06_cos_b10_04,6,cos,10,20260915,7,10.0,1.0
IBP_n06_cos_b03_05,6,cos,3,20260915,7,6.0,0.7782
IBP_n06_cos_b08_06,6,cos,8,20260915,7,8.0,0.9031
IBP_n06_cos_b07_07,6,cos,7,20260915,7,7.0,0.8451
IBP_n06_cos_b01_08,6,cos,1,20260915,7,720.0,2.8573
IBP_n06_cos_b05_09,6,cos,5,20260915,7,6.0,0.7782
IBP_n07_sin_b07_00,7,sin,7,20260915,8,7.0,0.8451
IBP_n07_sin_b04_01,7,sin,4,20260915,8,7.0,0.8451
IBP_n07_sin_b10_02,7,sin,10,20260915,8,10.0,1.0
IBP_n07_sin_b02_03,7,sin,2,20260915,8,39.375,1.5952
IBP_n07_sin_b06_04,7,sin,6,20260915,8,7.0,0.8451
IBP_n07_sin_b05_05,7,sin,5,20260915,8,7.0,0.8451
IBP_n07_sin_b03_06,7,sin,3,20260915,8,7.0,0.8451
IBP_n07_sin_b08_07,7,sin,8,20260915,8,8.0,0.9031
IBP_n07_sin_b09_08,7,sin,9,20260915,8,9.0,0.9542
IBP_n07_sin_b01_09,7,sin,1,20260915,8,5040.0,3.7024
IBP_n07_cos_b09_00,7,cos,9,20260915,8,9.0,0.9542
IBP_n07_cos_b02_01,7,cos,2,20260915,8,39.375,1.5952
IBP_n07_cos_b06_02,7,cos,6,20260915,8,7.0,0.8451
IBP_n07_cos_b04_03,7,cos,4,20260915,8,7.0,0.8451
IBP_n07_cos_b01_04,7,cos,1,20260915,8,5040.0,3.7024
IBP_n07_cos_b05_05,7,cos,5,20260915,8,7.0,0.8451
IBP_n07_cos_b07_06,7,cos,7,20260915,8,7.0,0.8451
IBP_n07_cos_b08_07,7,cos,8,20260915,8,8.0,0.9031
IBP_n07_cos_b03_08,7,cos,3,20260915,8,7.0,0.8451
IBP_n07_cos_b10_09,7,cos,10,20260915,8,10.0,1.0
IBP_n08_sin_b07_00,8,sin,7,20260915,9,8.0,0.9031
IBP_n08_sin_b04_01,8,sin,4,20260915,9,8.0,0.9031
IBP_n08_sin_b01_02,8,sin,1,20260915,9,40320.0,4.6055
IBP_n08_sin_b06_03,8,sin,6,20260915,9,8.0,0.9031
IBP_n08_sin_b09_04,8,sin,9,20260915,9,9.0,0.9542
IBP_n08_sin_b02_05,8,sin,2,20260915,9,157.5,2.1973
IBP_n08_sin_b05_06,8,sin,5,20260915,9,8.0,0.9031
IBP_n08_sin_b03_07,8,sin,3,20260915,9,9.218107,0.9646
IBP_n08_sin_b10_08,8,sin,10,20260915,9,10.0,1.0
IBP_n08_sin_b08_09,8,sin,8,20260915,9,8.0,0.9031
IBP_n08_cos_b07_00,8,cos,7,20260915,9,8.0,0.9031
IBP_n08_cos_b05_01,8,cos,5,20260915,9,8.0,0.9031
IBP_n08_cos_b03_02,8,cos,3,20260915,9,9.218107,0.9646
IBP_n08_cos_b02_03,8,cos,2,20260915,9,157.5,2.1973
IBP_n08_cos_b04_04,8,cos,4,20260915,9,8.0,0.9031
IBP_n08_cos_b08_05,8,cos,8,20260915,9,8.0,0.9031
IBP_n08_cos_b09_06,8,cos,9,20260915,9,9.0,0.9542
IBP_n08_cos_b06_07,8,cos,6,20260915,9,8.0,0.9031
IBP_n08_cos_b10_08,8,cos,10,20260915,9,10.0,1.0
IBP_n08_cos_b01_09,8,cos,1,20260915,9,40320.0,4.6055
IBP_n09_sin_b04_00,9,sin,4,20260915,10,9.0,0.9542
IBP_n09_sin_b10_01,9,sin,10,20260915,10,10.0,1.0
IBP_n09_sin_b02_02,9,sin,2,20260915,10,708.75,2.8505
IBP_n09_sin_b09_03,9,sin,9,20260915,10,9.0,0.9542
IBP_n09_sin_b08_04,9,sin,8,20260915,10,9.0,0.9542
IBP_n09_sin_b07_05,9,sin,7,20260915,10,9.0,0.9542
IBP_n09_sin_b05_06,9,sin,5,20260915,10,9.0,0.9542
IBP_n09_sin_b03_07,9,sin,3,20260915,10,27.654321,1.4418
IBP_n09_sin_b06_08,9,sin,6,20260915,10,9.0,0.9542
IBP_n09_sin_b01_09,9,sin,1,20260915,10,362880.0,5.5598
IBP_n09_cos_b01_00,9,cos,1,20260915,10,362880.0,5.5598
IBP_n09_cos_b03_01,9,cos,3,20260915,10,27.654321,1.4418
IBP_n09_cos_b07_02,9,cos,7,20260915,10,9.0,0.9542
IBP_n09_cos_b05_03,9,cos,5,20260915,10,9.0,0.9542
IBP_n09_cos_b04_04,9,cos,4,20260915,10,9.0,0.9542
IBP_n09_cos_b09_05,9,cos,9,20260915,10,9.0,0.9542
IBP_n09_cos_b06_06,9,cos,6,20260915,10,9.0,0.9542
IBP_n09_cos_b02_07,9,cos,2,20260915,10,708.75,2.8505
IBP_n09_cos_b10_08,9,cos,10,20260915,10,10.0,1.0
IBP_n09_cos_b08_09,9,cos,8,20260915,10,9.0,0.9542
IBP_n10_sin_b10_00,10,sin,10,20260915,11,10.0,1.0
IBP_n10_sin_b09_01,10,sin,9,20260915,11,10.0,1.0
IBP_n10_sin_b06_02,10,sin,6,20260915,11,10.0,1.0
IBP_n10_sin_b03_03,10,sin,3,20260915,11,92.18107,1.9646
IBP_n10_sin_b02_04,10,sin,2,20260915,11,3543.75,3.5495
IBP_n10_sin_b08_05,10,sin,8,20260915,11,10.0,1.0
IBP_n10_sin_b05_06,10,sin,5,20260915,11,10.0,1.0
IBP_n10_sin_b01_07,10,sin,1,20260915,11,3628800.0,6.5598
IBP_n10_sin_b04_08,10,sin,4,20260915,11,10.0,1.0
IBP_n10_sin_b07_09,10,sin,7,20260915,11,10.0,1.0
IBP_n10_cos_b09_00,10,cos,9,20260915,11,10.0,1.0
IBP_n10_cos_b10_01,10,cos,10,20260915,11,10.0,1.0
IBP_n10_cos_b07_02,10,cos,7,20260915,11,10.0,1.0
IBP_n10_cos_b06_03,10,cos,6,20260915,11,10.0,1.0
IBP_n10_cos_b01_04,10,cos,1,20260915,11,3628800.0,6.5598
IBP_n10_cos_b03_05,10,cos,3,20260915,11,92.18107,1.9646
IBP_n10_cos_b08_06,10,cos,8,20260915,11,10.0,1.0
IBP_n10_cos_b04_07,10,cos,4,20260915,11,10.0,1.0
IBP_n10_cos_b02_08,10,cos,2,20260915,11,3543.75,3.5495
IBP_n10_cos_b05_09,10,cos,5,20260915,11,10.0,1.0
IBP_n11_sin_b04_00,11,sin,4,20260915,12,25.378418,1.4045
IBP_n11_sin_b10_01,11,sin,10,20260915,12,11.0,1.0414
IBP_n11_sin_b07_02,11,sin,7,20260915,12,11.0,1.0414
IBP_n11_sin_b06_03,11,sin,6,20260915,12,11.0,1.0414
IBP_n11_sin_b02_04,11,sin,2,20260915,12,19490.625,4.2898
IBP_n11_sin_b03_05,11,sin,3,20260915,12,337.997257,2.5289
IBP_n11_sin_b05_06,11,sin,5,20260915,12,11.0,1.0414
IBP_n11_sin_b01_07,11,sin,1,20260915,12,39916800.0,7.6012
IBP_n11_sin_b08_08,11,sin,8,20260915,12,11.0,1.0414
IBP_n11_sin_b09_09,11,sin,9,20260915,12,11.0,1.0414
IBP_n11_cos_b01_00,11,cos,1,20260915,12,39916800.0,7.6012
IBP_n11_cos_b02_01,11,cos,2,20260915,12,19490.625,4.2898
IBP_n11_cos_b03_02,11,cos,3,20260915,12,337.997257,2.5289
IBP_n11_cos_b09_03,11,cos,9,20260915,12,11.0,1.0414
IBP_n11_cos_b07_04,11,cos,7,20260915,12,11.0,1.0414
IBP_n11_cos_b05_05,11,cos,5,20260915,12,11.0,1.0414
IBP_n11_cos_b06_06,11,cos,6,20260915,12,11.0,1.0414
IBP_n11_cos_b04_07,11,cos,4,20260915,12,25.378418,1.4045
IBP_n11_cos_b10_08,11,cos,10,20260915,12,11.0,1.0414
IBP_n11_cos_b08_09,11,cos,8,20260915,12,11.0,1.0414
IBP_n12_sin_b05_00,12,sin,5,20260915,13,12.0,1.0792
IBP_n12_sin_b02_01,12,sin,2,20260915,13,116943.75,5.068
IBP_n12_sin_b08_02,12,sin,8,20260915,13,12.0,1.0792
IBP_n12_sin_b07_03,12,sin,7,20260915,13,12.0,1.0792
IBP_n12_sin_b01_04,12,sin,1,20260915,13,479001600.0,8.6803
IBP_n12_sin_b09_05,12,sin,9,20260915,13,12.0,1.0792
IBP_n12_sin_b10_06,12,sin,10,20260915,13,12.0,1.0792
IBP_n12_sin_b03_07,12,sin,3,20260915,13,1351.989026,3.131
IBP_n12_sin_b04_08,12,sin,4,20260915,13,76.135254,1.8816
IBP_n12_sin_b06_09,12,sin,6,20260915,13,12.0,1.0792
IBP_n12_cos_b06_00,12,cos,6,20260915,13,12.0,1.0792
IBP_n12_cos_b03_01,12,cos,3,20260915,13,1351.989026,3.131
IBP_n12_cos_b07_02,12,cos,7,20260915,13,12.0,1.0792
IBP_n12_cos_b08_03,12,cos,8,20260915,13,12.0,1.0792
IBP_n12_cos_b10_04,12,cos,10,20260915,13,12.0,1.0792
IBP_n12_cos_b01_05,12,cos,1,20260915,13,479001600.0,8.6803
IBP_n12_cos_b05_06,12,cos,5,20260915,13,12.0,1.0792
IBP_n12_cos_b02_07,12,cos,2,20260915,13,116943.75,5.068
IBP_n12_cos_b04_08,12,cos,4,20260915,13,76.135254,1.8816
IBP_n12_cos_b09_09,12,cos,9,20260915,13,12.0,1.0792
IBP_n13_sin_b01_00,13,sin,1,20260915,14,6227020800.0,9.7943
IBP_n13_sin_b05_01,13,sin,5,20260915,14,26.568622,1.4244
IBP_n13_sin_b04_02,13,sin,4,20260915,14,247.439575,2.3935
IBP_n13_sin_b06_03,13,sin,6,20260915,14,13.0,1.1139
IBP_n13_sin_b08_04,13,sin,8,20260915,14,13.0,1.1139
IBP_n13_sin_b02_05,13,sin,2,20260915,14,760134.375,5.8809
IBP_n13_sin_b07_06,13,sin,7,20260915,14,13.0,1.1139
IBP_n13_sin_b09_07,13,sin,9,20260915,14,13.0,1.1139
IBP_n13_sin_b10_08,13,sin,10,20260915,14,13.0,1.1139
IBP_n13_sin_b03_09,13,sin,3,20260915,14,5858.619113,3.7678
IBP_n13_cos_b05_00,13,cos,5,20260915,14,26.568622,1.4244
IBP_n13_cos_b07_01,13,cos,7,20260915,14,13.0,1.1139
IBP_n13_cos_b01_02,13,cos,1,20260915,14,6227020800.0,9.7943
IBP_n13_cos_b02_03,13,cos,2,20260915,14,760134.375,5.8809
IBP_n13_cos_b04_04,13,cos,4,20260915,14,247.439575,2.3935
IBP_n13_cos_b08_05,13,cos,8,20260915,14,13.0,1.1139
IBP_n13_cos_b03_06,13,cos,3,20260915,14,5858.619113,3.7678
IBP_n13_cos_b10_07,13,cos,10,20260915,14,13.0,1.1139
IBP_n13_cos_b06_08,13,cos,6,20260915,14,13.0,1.1139
IBP_n13_cos_b09_09,13,cos,9,20260915,14,13.0,1.1139
IBP_n14_sin_b09_00,14,sin,9,20260915,15,14.0,1.1461
IBP_n14_sin_b04_01,14,sin,4,20260915,15,866.038513,2.9375
IBP_n14_sin_b01_02,14,sin,1,20260915,15,87178291200.0,10.9404
IBP_n14_sin_b06_03,14,sin,6,20260915,15,14.0,1.1461
IBP_n14_sin_b03_04,14,sin,3,20260915,15,27340.222527,4.4368
IBP_n14_sin_b05_05,14,sin,5,20260915,15,74.392142,1.8715
IBP_n14_sin_b07_06,14,sin,7,20260915,15,14.0,1.1461
IBP_n14_sin_b10_07,14,sin,10,20260915,15,14.0,1.1461
IBP_n14_sin_b02_08,14,sin,2,20260915,15,5320940.625,6.726
IBP_n14_sin_b08_09,14,sin,8,20260915,15,14.0,1.1461
IBP_n14_cos_b02_00,14,cos,2,20260915,15,5320940.625,6.726
IBP_n14_cos_b07_01,14,cos,7,20260915,15,14.0,1.1461
IBP_n14_cos_b08_02,14,cos,8,20260915,15,14.0,1.1461
IBP_n14_cos_b06_03,14,cos,6,20260915,15,14.0,1.1461
IBP_n14_cos_b03_04,14,cos,3,20260915,15,27340.222527,4.4368
IBP_n14_cos_b09_05,14,cos,9,20260915,15,14.0,1.1461
IBP_n14_cos_b04_06,14,cos,4,20260915,15,866.038513,2.9375
IBP_n14_cos_b10_07,14,cos,10,20260915,15,14.0,1.1461
IBP_n14_cos_b01_08,14,cos,1,20260915,15,87178291200.0,10.9404
IBP_n14_cos_b05_09,14,cos,5,20260915,15,74.392142,1.8715
IBP_n15_sin_b07_00,15,sin,7,20260915,16,15.0,1.1761
IBP_n15_sin_b08_01,15,sin,8,20260915,16,15.0,1.1761
IBP_n15_sin_b09_02,15,sin,9,20260915,16,15.0,1.1761
IBP_n15_sin_b05_03,15,sin,5,20260915,16,223.176425,2.3486
IBP_n15_sin_b01_04,15,sin,1,20260915,16,1307674368000.0,12.1165
IBP_n15_sin_b03_05,15,sin,3,20260915,16,136701.112635,5.1358
IBP_n15_sin_b02_06,15,sin,2,20260915,16,39907054.6875,7.601
IBP_n15_sin_b10_07,15,sin,10,20260915,16,15.0,1.1761
IBP_n15_sin_b04_08,15,sin,4,20260915,16,3247.644424,3.5116
IBP_n15_sin_b06_09,15,sin,6,20260915,16,30.036866,1.4777
IBP_n15_cos_b04_00,15,cos,4,20260915,16,3247.644424,3.5116
IBP_n15_cos_b07_01,15,cos,7,20260915,16,15.0,1.1761
IBP_n15_cos_b03_02,15,cos,3,20260915,16,136701.112635,5.1358
IBP_n15_cos_b09_03,15,cos,9,20260915,16,15.0,1.1761
IBP_n15_cos_b01_04,15,cos,1,20260915,16,1307674368000.0,12.1165
IBP_n15_cos_b10_05,15,cos,10,20260915,16,15.0,1.1761
IBP_n15_cos_b08_06,15,cos,8,20260915,16,15.0,1.1761
IBP_n15_cos_b02_07,15,cos,2,20260915,16,39907054.6875,7.601
IBP_n15_cos_b05_08,15,cos,5,20260915,16,223.176425,2.3486
IBP_n15_cos_b06_09,15,cos,6,20260915,16,30.036866,1.4777
IBP_n16_sin_b05_00,16,sin,5,20260915,17,714.164562,2.8538
IBP_n16_sin_b04_01,16,sin,4,20260915,17,12990.577698,4.1136
IBP_n16_sin_b01_02,16,sin,1,20260915,17,20922789888000.0,13.3206
IBP_n16_sin_b10_03,16,sin,10,20260915,17,16.0,1.2041
IBP_n16_sin_b06_04,16,sin,6,20260915,17,80.098308,1.9036
IBP_n16_sin_b02_05,16,sin,2,20260915,17,319256437.5,8.5041
IBP_n16_sin_b03_06,16,sin,3,20260915,17,729072.600721,5.8628
IBP_n16_sin_b08_07,16,sin,8,20260915,17,16.0,1.2041
IBP_n16_sin_b09_08,16,sin,9,20260915,17,16.0,1.2041
IBP_n16_sin_b07_09,16,sin,7,20260915,17,16.0,1.2041
IBP_n16_cos_b09_00,16,cos,9,20260915,17,16.0,1.2041
IBP_n16_cos_b06_01,16,cos,6,20260915,17,80.098308,1.9036
IBP_n16_cos_b02_02,16,cos,2,20260915,17,319256437.5,8.5041
IBP_n16_cos_b04_03,16,cos,4,20260915,17,12990.577698,4.1136
IBP_n16_cos_b01_04,16,cos,1,20260915,17,20922789888000.0,13.3206
IBP_n16_cos_b03_05,16,cos,3,20260915,17,729072.600721,5.8628
IBP_n16_cos_b05_06,16,cos,5,20260915,17,714.164562,2.8538
IBP_n16_cos_b10_07,16,cos,10,20260915,17,16.0,1.2041
IBP_n16_cos_b07_08,16,cos,7,20260915,17,16.0,1.2041
IBP_n16_cos_b08_09,16,cos,8,20260915,17,16.0,1.2041
